instance,actual_cpu,on_demand_monthly_cost,recommended_commitment,ri_monthly_cost,monthly_savings,savings_pct,breakeven_utilization_pct,savings_plan
instance-0fbac7e0-0bf8-40cb-9882-cc41ade973ca,85.15166666666666,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-189f59d0-8d85-42bb-a728-ad07b744c46b,52.58666666666667,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-18bf58e3-7bd3-4ea4-a144-7db5cf9c9342,74.35333333333334,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-1afb2372-37bb-44c5-bf0f-e736ccc00338,53.31333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-1cdb0411-5e21-47a1-bffa-686b568fd203,98.27,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-1d536d2c-f16b-43a8-ba07-c4b6aa1da44f,94.53833333333334,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-1dac5b6a-8333-4298-b324-c048f18e14d7,50.025,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-209301d6-418b-4bd7-8228-b05d0cf0207e,69.3,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-20f1941f-e784-4c84-a1c6-84ffa0d4df78,48.845,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-23688339-47e0-4f11-917e-7aab9f51cd1d,62.065,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-26785c0a-32a2-4501-bdd2-c7e1a7394c92,7.681666666666666,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-269fa7f3-d6ae-44f8-8fdc-f45a92791434,58.16833333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-26ffbe9a-5ec7-4815-b482-a9d4becc3ba4,70.18500000000002,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-2a0cff69-9075-484d-9799-09b3d93f9037,49.95666666666667,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-2a1d038f-ca09-47b0-a919-8bccbd27fbb3,31.211666666666673,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-2ae7bb51-c13a-48f8-9467-62e318c0e8c7,56.03833333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-2cc1cd9a-deda-4acc-9693-aea2f9e391cf,71.27499999999999,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-2ea755b6-2103-4879-b05e-cf1392d27297,57.02,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-2ee51137-18d0-4d11-af36-eb8da82dc25b,55.11000000000001,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-345aaf79-dc56-4f59-88f0-48ad9ba15d79,50.615,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-34c9a05c-b210-4b65-a760-10f08bf5afe0,90.27166666666666,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-34d48a09-445a-4f18-b3fb-35e2faae723f,81.60000000000001,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-35262b5e-ab16-430c-b312-923c3b158445,69.80500000000002,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-360e2785-2a17-479e-bf4c-5a5ca4eb0532,51.405,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-387bcd33-536e-471a-9d65-5f6bbc93abdd,98.16166666666668,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-3d029fa6-4a40-402e-87de-d19e94621749,55.44333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-3d27ce06-4758-4af9-81bc-099476168f20,54.583333333333336,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-3dbdda3f-c993-4d03-8835-e0cb766e6070,69.34833333333334,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-3e7d39eb-6f7d-42f7-987f-a454352e47e3,96.76833333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-3fd53464-6eb2-419f-a045-4e82aa2a22f2,87.48333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-408dbda8-7ad0-4fc8-a70d-f01419f464f5,60.46333333333334,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-410e7f0e-0ac8-44ad-ad08-6d969e5af4ec,48.28999999999999,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-4167b930-0ae3-4887-9812-7103bd41390c,51.57,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-42308986-844f-4926-92ce-029c98ef933a,66.185,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-431a6b8d-5eea-4bf1-9855-a1addba5d090,53.31333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-472008b9-b376-47bc-aa91-139efa7d0f66,87.75333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-4769a5a2-6917-413a-a87a-2386d34052b7,61.52333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-476ddbb3-97e7-4fa4-9a2f-7f8b8ec62cfb,71.93333333333334,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-47f505d3-9e34-44a9-856e-5836e3cb1384,83.64666666666666,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-48128797-b69a-4ac1-b125-7d41ef476ce3,50.565,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-48264011-8d80-4ef3-b80d-30773bcade85,59.745000000000005,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-4896ca73-815c-402b-93e5-ac141bd5f34b,22.311666666666664,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-4bae0719-99b9-4f5c-9d31-d711f3d18da2,70.95166666666665,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-4c828036-4009-47f1-9841-1aaa160b96ef,54.31666666666666,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-4cd2a2cd-ffcb-42ee-bd0f-2a0b1ac6be6b,50.36333333333334,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-4ce40b12-be88-4fad-874d-985968ada868,62.86333333333332,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-4f774e09-6db8-4f62-99c3-a7cae60aeac7,22.83666666666667,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-54104223-2963-44ca-9ec4-e315d142de88,72.22333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-54815945-c4f6-4f46-9ab7-b65669ac0757,50.81333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-550caad6-9dd8-4ccd-84bb-d82053ee84b2,17.201666666666664,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-568d7cff-9a9c-4821-a507-b028344c94e3,87.46500000000002,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-570eaa20-3dfb-4a22-a94e-21735e72305e,100.0,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-57516cf6-ad47-4fc6-9697-bd872f379169,95.74166666666666,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-58298feb-641d-4735-bb22-bc9f531bdee6,74.39666666666666,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-5ae50dc3-cdd9-4b97-8a2f-91111aed5c30,55.43,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-5c05598a-3ba0-4113-855d-55ce9d22fc60,64.2,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-5c1e96dd-c370-4e5e-b1b2-3c78403ba680,48.11333333333334,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-5ea84716-d858-419c-a623-87343cea2b3a,52.90333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-60b4a2f9-69cf-4ac8-88b0-557d11f3c4dd,79.68166666666667,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-613235dd-cf22-45a7-8e60-8ee81f9fcb8a,52.10833333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-61cf0191-32cb-4ba1-8a92-63f76b2faf49,55.606666666666676,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-62c9652d-bbdd-459b-81dc-190c927b573b,85.64333333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-65cbda88-8549-49fb-b6bc-1633339a7bbe,56.00833333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-6b958650-c0d9-4654-b00c-1d4028c31f91,40.12166666666666,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-6d143219-f080-4c56-a2e2-c0d861abc839,50.92333333333334,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-6e06aebf-501e-4f1b-8235-34f34639c966,56.58833333333333,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-703566ef-67a0-4281-b8da-7712ebe03894,100.0,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-726c7d54-09a6-4756-a3e8-f26ae61eb695,56.053333333333335,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-73799700-ae33-4ead-ba61-b41c99f830d3,51.73166666666666,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-780f7a8c-a5d2-4de8-8c0b-76fde7b01f61,94.36833333333334,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
instance-7c8b05e3-cd51-4608-8d79-92d7956e4541,50.915,89.01,3yr All Upfront,33.47,55.54,62.4,37.6,"not computed: Savings Plans rates require the authenticated AWS savingsplans:DescribeRates API (AWS account + credentials), which is outside the public Bulk Pricing API this project uses for on-demand and Reserved Instance prices. No number is reported here rather than approximating one."
